Population,Year2000,Year2001,Year2002,Year2003,Year2004,Year2005,Year2006,Year2007,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Year2014,Year2015,Year2016,Year2017,Year2018,Year2019,Year2020,Year2021
HOP,14.14359951,14.67551613,14.49007988,14.53167152,14.66535282,14.31937313,14.27858162,14.04700851,14.30982876,14.39932919,13.62676811,13.75341988,14.28551197,14.47280884,15.76741409,15.62187767,14.65999508,15.06770802,15.06770802,14.73780346,15.14967823,15.14930344
MAR2,13.98472786,14.20741463,13.94281673,14.03548527,13.81210709,13.74076462,13.66708565,13.47181702,14.06412125,13.8171072,13.71135712,13.20175648,13.81946468,13.87945557,15.4467926,15.1023159,14.79994869,15.07552433,15.07552433,14.75415707,15.41180325,14.98604393
MAR1,14.04229832,14.13017845,13.78644753,13.80428314,13.54298973,13.37789917,13.13450718,12.91207218,13.6649189,13.66528797,13.55237007,13.01064205,13.61406612,13.81787205,15.28066635,14.95455933,14.6692028,14.95570469,14.95570469,14.54865742,15.42798805,15.0345211
JRA,15.14341831,15.2845211,15.1829071,15.59879494,15.67066479,15.21314335,15.10731888,14.70747471,15.13319492,15.46913242,14.71863079,14.43131542,14.8313446,15.3435955,16.67007828,16.31752396,15.78213215,16.00413704,16.00413704,15.47984219,16.26578522,15.38309479
POW,18.26934242,17.81062889,17.70188332,18.66268539,18.29634857,18.3494339,18.62025642,18.38952446,18.82505035,18.68051338,17.78645515,18.18230247,19.01172447,18.88748932,20.17886734,20.10956192,19.28504944,19.53522491,19.53522491,18.35048103,19.22048187,17.79446602
SB,16.10610771,16.04950523,15.827672,16.38874054,16.12024307,16.54135132,16.32731819,15.80159283,16.26854515,16.04602814,15.48774052,15.56223392,16.51499557,16.39978409,17.64572716,17.43337822,17.10373306,17.22685242,17.22685242,16.00434685,17.22831726,17.214674
PAR,14.53939724,14.41947746,13.79447746,14.55933762,14.01951694,14.23897839,13.66746616,13.75196266,14.12493515,13.95466137,13.57004738,13.59166336,14.6662302,14.64775085,15.83862305,15.08088875,14.70209122,14.96949673,14.96949673,14.32750702,14.89551353,14.75434303
PLA,15.6097517,16.09230423,15.84398746,16.07041931,15.94601154,15.83049393,15.77738667,15.69494915,16.00000381,15.70181751,15.19481754,15.03385544,15.91438866,16.2924099,17.29151344,16.90696335,16.50291634,16.59665298,16.59665298,15.97080231,16.91245842,16.61005402
EUG,11.0777359,11.22321415,11.4020443,12.12638664,12.00693798,11.5147047,11.44480038,10.94757271,10.67201138,10.94719505,11.45577621,10.70589638,11.25119686,11.16942787,12.4167347,12.74149895,12.17054176,11.32368565,11.32368565,11.31804466,11.92010498,12.28537273
WAW,15.36880112,15.98788261,15.79656219,15.9698391,15.76559067,15.40947723,15.4051981,15.79019833,15.96132851,15.81755161,14.62656498,14.56443596,16.01833916,16.37757111,17.12984657,16.49346161,16.06199265,16.21042633,16.21042633,15.03454781,16.34578896,16.5551796